['4']	111111111
['1']	111011111
['2']	111011111
['1']	011011111
['5']	011011111
['1']	001011111
['1']	001111111
['3']	101111111
['1']	101101111
['5']	101101111
['1']	101100111
['3']	101100111
['1']	101100110
['4']	111100110
['4']	111100110
['1']	111100100
['4']	111100100
['1']	111100000
['2']	111100000
['2']	111100000
['1']	111000000
['2']	111000000
['1']	011000100
['5']	011000100
['1']	001000100
['3']	001000100
['3']	001000110
['1']	001000100
['4']	001000100
['1']	001100000
['2']	101100000
['1']	101000000
['2']	101000000
['1']	001100000
['3']	001100000
['1']	001000000
['5']	001000001
['5']	001000001
['2']	001000001
['1']	000000001
['3']	000000001
['3']	000000001
['1']	000000000
['2']	000000000
['4']	000000100
['4']	000100100
['1']	000000100
['3']	000000100
['1']	000000001
['2']	000000001
['1']	000000001
['5']	000000001
['5']	000000001
['3']	000000001
['1']	000000000
['2']	000000000
['1']	000000000
['3']	000000001
['1']	000000100
['1']	010000100
['4']	010000100
['4']	010000100
['1']	010000000
['2']	110000000
['2']	110000000
['1']	010000000
['5']	010000100
['1']	000001100
['3']	001011100
['1']	001001100
['5']	001001100
['1']	001000101
['3']	001100101
['1']	001100100
['1']	001100100
['4']	001100100
['4']	001100100
['1']	001100000
['2']	001110000
['1']	001010000
['5']	001010001
['1']	001000001
['5']	001000001
['2']	001000001
['1']	000000001
['4']	100100001
['4']	100100001
['1']	000100011
['3']	000100011
['1']	000000011
['5']	000000011
['5']	000000011
['3']	000100011
['1']	000100010
['4']	000100010
['1']	000100000
['4']	000100100
['4']	000100100
['1']	000100000
['2']	000100000
['3']	111111111
['1']	111111101
['4']	111111101
['1']	111111001
['2']	111111011
['1']	111011011
['2']	111011011
['1']	011011011
['5']	011011011
['1']	001011011
['3']	001011011
['1']	001001111
['5']	101001111
['1']	101000111
['3']	101000111
['1']	101000110
['4']	101000110
['1']	101000100
['4']	101000100
['1']	101000000
['2']	111000000
['2']	111001000
['5']	111001000
['5']	111001000
['1']	111000000
['2']	111000000
['1']	110000100
['4']	110000100
['1']	100000100
['4']	100000110
['1']	000001110
['3']	000001110
['5']	000001110
['3']	000001110
['1']	000001100
['4']	000001100
['1']	000011000
['2']	000011000
['5']	000011000
['1']	000001000
['5']	000001000
['1']	100000000
['4']	100000000
['4']	100000000
['2']	100000000
['4']	101000000
['1']	001000000
['3']	001000000
['5']	001000000
['5']	001001000
['1']	001000000
['2']	001000000
['1']	000000000
['3']	000000000
['4']	000000000
['1']	000000000
['1']	000000000
['3']	001000010
['1']	001000000
['1']	001000000
['2']	001000000
['5']	001000000
['2']	001000000
['1']	000000000
['3']	000000000
['4']	000000000
['1']	000000000
['1']	000000000
['2']	010000000
['1']	000000000
['1']	000000000
['3']	000001000
['5']	000001000
['1']	001000000
['2']	001000000
['1']	100000000
['4']	100010000
['4']	100010000
['1']	000010100
