0,1,4.0
0,2,4.0
0,3,4.0
0,4,4.0
0,5,4.0
1,1,4.0
1,2,3.0
1,3,3.0
1,4,3.0
1,5,3.0
2,1,3.0
2,2,3.0
2,3,3.0
2,4,3.0
2,5,3.0
3,1,3.0
3,2,2.0
3,3,2.0
3,4,2.0
3,5,2.0
4,1,3.0
4,2,3.0
4,3,3.0
4,4,3.0
4,5,3.0
5,1,3.0
5,2,2.0
5,3,2.0
5,4,2.0
5,5,2.0
6,1,2.0
6,2,2.0
6,3,2.0
6,4,2.0
6,5,2.0
7,1,2.0
7,2,1.0
7,3,1.0
7,4,1.0
7,5,1.0
8,1,3.0
8,2,3.0
8,3,3.0
8,4,3.0
8,5,3.0
9,1,3.0
9,2,2.0
9,3,2.0
9,4,2.0
9,5,2.0
10,1,2.0
10,2,2.0
10,3,2.0
10,4,2.0
10,5,2.0
11,1,2.0
11,2,1.0
11,3,1.0
11,4,1.0
11,5,1.0
12,1,2.0
12,2,2.0
12,3,2.0
12,4,2.0
12,5,2.0
13,1,2.0
13,2,1.0
13,3,1.0
13,4,1.0
13,5,1.0
14,1,1.0
14,2,1.0
14,3,1.0
14,4,1.0
14,5,1.0
15,1,1.0
15,2,0.0
15,3,0.0
15,4,0.0
15,5,0.0
16,1,4.0
16,2,4.0
16,3,4.0
16,4,4.0
16,5,4.0
17,1,3.0
17,2,3.0
17,3,3.0
17,4,3.0
17,5,3.0
18,1,4.0
18,2,3.0
18,3,3.0
18,4,3.0
18,5,3.0
19,1,3.0
19,2,2.0
19,3,2.0
19,4,2.0
19,5,2.0
20,1,3.0
20,2,3.0
20,3,3.0
20,4,3.0
20,5,3.0
21,1,2.0
21,2,2.0
21,3,2.0
21,4,2.0
21,5,2.0
22,1,3.0
22,2,2.0
22,3,2.0
22,4,2.0
22,5,2.0
23,1,2.0
23,2,1.0
23,3,1.0
23,4,1.0
23,5,1.0
24,1,3.0
24,2,3.0
24,3,3.0
24,4,3.0
24,5,3.0
25,1,2.0
25,2,2.0
25,3,2.0
25,4,2.0
25,5,2.0
26,1,3.0
26,2,2.0
26,3,2.0
26,4,2.0
26,5,2.0
27,1,2.0
27,2,1.0
27,3,1.0
27,4,1.0
27,5,1.0
28,1,2.0
28,2,2.0
28,3,2.0
28,4,2.0
28,5,2.0
29,1,1.0
29,2,1.0
29,3,1.0
29,4,1.0
29,5,1.0
30,1,2.0
30,2,1.0
30,3,1.0
30,4,1.0
30,5,1.0
31,1,1.0
31,2,0.0
31,3,0.0
31,4,0.0
31,5,0.0
32,1,4.0
32,2,4.0
32,3,4.0
32,4,4.0
32,5,4.0
33,1,3.0
33,2,3.0
33,3,3.0
33,4,3.0
33,5,3.0
34,1,3.0
34,2,3.0
34,3,3.0
34,4,3.0
34,5,3.0
35,1,2.0
35,2,2.0
35,3,2.0
35,4,2.0
35,5,2.0
36,1,4.0
36,2,3.0
36,3,3.0
36,4,3.0
36,5,3.0
37,1,3.0
37,2,2.0
37,3,2.0
37,4,2.0
37,5,2.0
38,1,3.0
38,2,2.0
38,3,2.0
38,4,2.0
38,5,2.0
39,1,2.0
39,2,1.0
39,3,1.0
39,4,1.0
39,5,1.0
40,1,3.0
40,2,3.0
40,3,3.0
40,4,3.0
40,5,3.0
41,1,2.0
41,2,2.0
41,3,2.0
41,4,2.0
41,5,2.0
42,1,2.0
42,2,2.0
42,3,2.0
42,4,2.0
42,5,2.0
43,1,1.0
43,2,1.0
43,3,1.0
43,4,1.0
43,5,1.0
44,1,3.0
44,2,2.0
44,3,2.0
44,4,2.0
44,5,2.0
45,1,2.0
45,2,1.0
45,3,1.0
45,4,1.0
45,5,1.0
46,1,2.0
46,2,1.0
46,3,1.0
46,4,1.0
46,5,1.0
47,1,1.0
47,2,0.0
47,3,0.0
47,4,0.0
47,5,0.0
48,1,4.0
48,2,4.0
48,3,4.0
48,4,4.0
48,5,4.0
49,1,3.0
49,2,3.0
49,3,3.0
49,4,3.0
49,5,3.0
50,1,3.0
50,2,3.0
50,3,3.0
50,4,3.0
50,5,3.0
51,1,2.0
51,2,2.0
51,3,2.0
51,4,2.0
51,5,2.0
52,1,3.0
52,2,3.0
52,3,3.0
52,4,3.0
52,5,3.0
53,1,2.0
53,2,2.0
53,3,2.0
53,4,2.0
53,5,2.0
54,1,2.0
54,2,2.0
54,3,2.0
54,4,2.0
54,5,2.0
55,1,1.0
55,2,1.0
55,3,1.0
55,4,1.0
55,5,1.0
56,1,4.0
56,2,3.0
56,3,3.0
56,4,3.0
56,5,3.0
57,1,3.0
57,2,2.0
57,3,2.0
57,4,2.0
57,5,2.0
58,1,3.0
58,2,2.0
58,3,2.0
58,4,2.0
58,5,2.0
59,1,2.0
59,2,1.0
59,3,1.0
59,4,1.0
59,5,1.0
60,1,3.0
60,2,2.0
60,3,2.0
60,4,2.0
60,5,2.0
61,1,2.0
61,2,1.0
61,3,1.0
61,4,1.0
61,5,1.0
62,1,2.0
62,2,1.0
62,3,1.0
62,4,1.0
62,5,1.0
63,1,1.0
63,2,0.0
63,3,0.0
63,4,0.0
63,5,0.0
