0,1,0,1.0
0,2,0,0.1
0,2,32,0.9
0,3,0,1.0
0,4,0,0.1
0,4,16,0.9
0,5,0,1.0
1,1,0,1.0
1,2,1,0.1
1,2,33,0.9
1,3,1,1.0
1,4,1,0.1
1,4,17,0.9
1,5,1,1.0
2,1,2,1.0
2,2,2,0.1
2,2,34,0.9
2,3,2,1.0
2,4,2,0.1
2,4,18,0.9
2,5,2,1.0
3,1,2,1.0
3,2,3,0.1
3,2,35,0.9
3,3,3,1.0
3,4,3,0.1
3,4,19,0.9
3,5,3,1.0
4,1,4,1.0
4,2,4,0.1
4,2,36,0.9
4,3,4,1.0
4,4,4,0.1
4,4,20,0.9
4,5,4,1.0
5,1,4,1.0
5,2,5,0.1
5,2,37,0.9
5,3,5,1.0
5,4,5,0.1
5,4,21,0.9
5,5,5,1.0
6,1,6,1.0
6,2,6,0.1
6,2,38,0.9
6,3,6,1.0
6,4,6,0.1
6,4,22,0.9
6,5,6,1.0
7,1,6,1.0
7,2,7,0.1
7,2,39,0.9
7,3,7,1.0
7,4,7,0.1
7,4,23,0.9
7,5,7,1.0
8,1,8,1.0
8,2,8,0.1
8,2,40,0.9
8,3,8,1.0
8,4,8,0.1
8,4,24,0.9
8,5,8,1.0
9,1,8,1.0
9,2,9,0.1
9,2,41,0.9
9,3,9,1.0
9,4,9,0.1
9,4,25,0.9
9,5,9,1.0
10,1,10,1.0
10,2,10,0.1
10,2,42,0.9
10,3,10,1.0
10,4,10,0.1
10,4,26,0.9
10,5,10,1.0
11,1,10,1.0
11,2,11,0.1
11,2,43,0.9
11,3,11,1.0
11,4,11,0.1
11,4,27,0.9
11,5,11,1.0
12,1,12,1.0
12,2,12,0.1
12,2,44,0.9
12,3,12,1.0
12,4,12,0.1
12,4,28,0.9
12,5,12,1.0
13,1,12,1.0
13,2,13,0.1
13,2,45,0.9
13,3,13,1.0
13,4,13,0.1
13,4,29,0.9
13,5,13,1.0
14,1,14,1.0
14,2,14,0.1
14,2,46,0.9
14,3,14,1.0
14,4,14,0.1
14,4,30,0.9
14,5,14,1.0
15,1,14,1.0
15,2,15,0.1
15,2,47,0.9
15,3,15,1.0
15,4,15,0.1
15,4,31,0.9
15,5,15,1.0
16,1,16,1.0
16,2,16,0.1
16,2,48,0.9
16,3,16,1.0
16,4,16,1.0
16,5,0,0.9
16,5,16,0.1
17,1,17,1.0
17,2,17,0.1
17,2,49,0.9
17,3,17,1.0
17,4,17,1.0
17,5,1,0.9
17,5,17,0.1
18,1,16,1.0
18,2,18,0.1
18,2,50,0.9
18,3,18,1.0
18,4,18,1.0
18,5,2,0.9
