['4', '3', '3']	111111111
['1', '1', '1']	111100111
['5', '4', '1']	111100111
['3', '3', '2']	111100111
['1', '1', '1']	110100100
['4', '4', '4']	110100100
['4', '1', '1']	100100000
['4', '2', '4']	100100000
['2', '1', '1']	000001010
['3', '3', '5']	000001010
['3', '5', '5']	000001010
['5', '1', '3']	000001000
['1', '1', '1']	000000000
['4', '4', '4']	000000100
['1', '1', '4']	000000000
['2', '5', '5']	000000000
['2', '2', '2']	100000000
['1', '2', '4']	000000000
['3', '3', '3']	000000000
['5', '1', '5']	000000000
['1', '1', '1']	000000000
['1', '1', '1']	000000000
['1', '1', '1']	000000000
['1', '1', '1']	000000000
['1', '1', '1']	000000000
['1', '1', '1']	000000000
['1', '1', '1']	000000000
['1', '1', '1']	000000000
['1', '1', '1']	000000000
['1', '1', '1']	000000000
['4', '4', '4']	000100000
['1', '1', '1']	000000000
['5', '5', '5']	000000000
['1', '5', '1']	000000000
['1', '1', '1']	000000000
['1', '1', '1']	000000000
['2', '2', '2']	010000000
['1', '1', '1']	000000000
['3', '3', '3']	000000000
['2', '2', '5']	001000000
['1', '1', '2']	001000000
['5', '5', '5']	001000000
['5', '1', '1']	000000000
['3', '3', '3']	000000000
['2', '2', '2']	010000000
['1', '4', '2']	100000000
['4', '4', '4']	100100000
['1', '1', '4']	000100001
['3', '3', '3']	000100001
['1', '1', '1']	000000001
['2', '2', '2']	100000001
['1', '1', '1']	000010001
['5', '5', '3']	000010001
['3', '3', '5']	000011101
['1', '1', '1']	000001101
['5', '5', '5']	000001101
['1', '1', '1']	100000101
['3', '3', '3']	100000101
['1', '1', '1']	100000110
['4', '4', '4']	100000110
['1', '1', '1']	100000100
['1', '1', '1']	100000100
['4', '4', '4']	100000100
['1', '1', '1']	100000000
['2', '2', '2']	100000000
['2', '2', '2']	100000000
['1', '1', '1']	000000000
['5', '5', '3']	000000000
['3', '3', '5']	000000000
['1', '1', '1']	000000000
['1', '1', '1']	000000000
['1', '1', '1']	000000000
['1', '1', '1']	000000000
['2', '2', '2']	010000000
['1', '1', '1']	000001000
['5', '5', '5']	000001000
['3', '3', '3']	000001000
['1', '1', '1']	000000000
['4', '4', '4']	000000000
['1', '1', '4']	000000000
['1', '1', '1']	000000000
['5', '5', '5']	000001000
['1', '1', '1']	000000000
['2', '2', '2']	001000000
['1', '1', '1']	000100000
['4', '4', '4']	000100100
['5', '1', '5']	000100100
['4', '4', '4']	000100110
['4', '4', '4']	000100110
['3', '3', '3']	000100111
['1', '1', '1']	000000111
['3', '3', '3']	000000111
['1', '1', '1']	000000011
['5', '5', '5']	000000011
['5', '1', '1']	100000001
['5', '5', '5']	100000001
